time,gyro_roll,inter_time,inter_gyro_roll
24.26,26.63,3.67,-95.06300206
24.32,33.77,3.68,-94.9686023
24.42,14.78,3.69,-94.86
24.43,14.78,3.7,-92.9102902
24.43,14.78,3.71,-87.66962605
24.52,-18.24,3.72,-79.7045079
24.58,-18.24,3.73,-69.58143613
24.62,-0.35,3.74,-57.86691111
24.72,-4.14,3.75,-45.12743319
24.82,-45.64,3.76,-31.92950276
24.9,-45.64,3.77,-18.83962017
24.92,-48.87,3.78,-6.424285795
25.02,2.27,3.79,4.75
25.12,14.11,3.8,16.17043172
25.22,-51.8,3.81,29.2522279
25.22,-51.8,3.82,43.32092423
25.32,-83.85,3.83,57.70205639
25.42,-30.5,3.84,71.72116006
25.43,-30.5,3.85,84.70377093
25.43,-30.5,3.86,95.97542467
25.52,48.17,3.87,1.05E+02
25.54,48.17,3.88,1.11E+02
25.62,6,3.89,1.13E+02
25.72,-31.85,3.9,1.13E+02
25.82,-21.59,3.91,1.13E+02
25.86,-21.59,3.92,1.13E+02
25.92,12.71,3.93,1.13E+02
26.02,64.47,3.94,1.13E+02
26.12,11.31,3.95,1.15E+02
26.18,11.31,3.96,1.20E+02
26.22,-19.46,3.97,1.26E+02
26.32,-4.14,3.98,1.31E+02
26.42,-7,3.99,1.33E+02
26.43,-7,4,1.32E+02
26.43,-7,4.01,1.30E+02
26.5,-7,4.02,1.25E+02
26.52,-1.27,4.03,1.20E+02
26.62,-14.45,4.04,1.13E+02
26.72,-26.11,4.05,1.06E+02
26.82,-32.15,4.06,98.47449302
26.82,-32.15,4.07,90.62323473
26.92,-18.91,4.08,82.83460636
27.02,-0.84,4.09,75.37
27.12,-1.21,4.1,66.84223364
27.14,-1.21,4.11,56.16788527
27.22,-42.22,4.12,44.06398698
27.32,-54.67,4.13,31.24757092
27.42,-44.36,4.14,18.4356692
27.43,-44.36,4.15,6.345313949
27.43,-44.36,4.16,-4.306462721
27.46,-44.36,4.17,-12.80262868
27.52,-30.56,4.18,-18.42615182
27.62,-18.17,4.19,-20.46
27.72,-29.4,4.2,-20.46
27.78,-29.4,4.21,-20.46
27.82,-80.74,4.22,-20.46
27.92,-75.61,4.23,-20.46
28.02,27.3,4.24,-20.46
28.1,27.3,4.25,-20.46
28.12,54.82,4.26,-20.46
28.22,23.7,4.27,-20.46
28.32,12.65,4.28,-44.38376681
28.42,13.26,4.29,-74.17
28.42,13.26,4.3,-85.40851554
28.43,13.26,4.31,-95.64567393
28.43,13.26,4.32,-1.05E+02
28.52,7.89,4.33,-1.13E+02
28.62,13.87,4.34,-1.20E+02
28.72,34.38,4.35,-1.26E+02
28.74,34.38,4.36,-1.30E+02
28.82,44.39,4.37,-1.34E+02
28.92,35.23,4.38,-1.36E+02
29.02,15.4,4.39,-1.36E+02
29.06,15.4,4.4,-1.27E+02
29.12,-9.75,4.41,-1.02E+02
29.22,-1.27,4.42,-65.92024
29.32,0.81,4.43,-21.56928
29.38,0.81,4.44,26.695
29.42,-2.37,4.45,74.95928
29.43,-2.37,4.46,1.19E+02
29.43,-2.37,4.47,1.56E+02
29.52,-2,4.48,1.81E+02
29.62,-9.14,4.49,1.90E+02
29.7,-9.14,4.5,1.90E+02
29.72,-4.07,4.51,1.90E+02
29.82,4.65,4.52,1.90E+02
29.92,-2,4.53,1.90E+02
30.02,0.26,4.54,1.90E+02
30.02,0.26,4.55,1.90E+02
30.12,0.14,4.56,1.90E+02
30.22,1.48,4.57,1.90E+02
30.32,-0.84,4.58,1.90E+02
30.34,-0.84,4.59,3.31E+02
30.42,0.26,4.6,3.33E+02
30.43,0.26,4.61,3.35E+02
30.43,0.26,4.62,3.37E+02
30.52,-1.51,4.63,3.38E+02
30.62,-0.47,4.64,3.39E+02
30.66,-0.47,4.65,3.39E+02
30.72,3.55,4.66,3.40E+02
30.82,-1.57,4.67,3.40E+02
30.92,-0.05,4.68,3.40E+02
30.98,-0.05,4.69,3.40E+02
31.02,0.08,4.7,3.36E+02
